IssueAge|int,Age|int,Duration|int,Underwriting|str,Sex|str,vals
18,18,1,NS_P,Female,0.00033
18,19,2,NS_P,Female,0.00033
18,20,3,NS_P,Female,0.00033
18,21,4,NS_P,Female,0.00033
18,22,5,NS_P,Female,0.00033
18,23,6,NS_P,Female,0.00033
18,24,7,NS_P,Female,0.00033
18,25,8,NS_P,Female,0.00033
18,26,9,NS_P,Female,0.00033
18,27,10,NS_P,Female,0.00034
18,28,11,NS_P,Female,0.00036
18,29,12,NS_P,Female,0.00039
18,30,13,NS_P,Female,0.00041
18,31,14,NS_P,Female,0.00043
18,32,15,NS_P,Female,0.00047
18,33,16,NS_P,Female,0.00054
18,34,17,NS_P,Female,0.00061
18,35,18,NS_P,Female,0.0007
18,36,19,NS_P,Female,0.00079
18,37,20,NS_P,Female,0.00088
18,38,21,NS_P,Female,0.00096
18,39,22,NS_P,Female,0.001
18,40,23,NS_P,Female,0.00101
18,41,24,NS_P,Female,0.00102
18,42,25,NS_P,Female,0.00102
18,43,26,NS_P,Female,0.00103
18,44,27,NS_P,Female,0.00103
18,45,28,NS_P,Female,0.00104
18,46,29,NS_P,Female,0.00108
18,47,30,NS_P,Female,0.00112
18,48,31,NS_P,Female,0.00118
18,49,32,NS_P,Female,0.00126
18,50,33,NS_P,Female,0.00136
18,51,34,NS_P,Female,0.00149
18,52,35,NS_P,Female,0.00166
18,53,36,NS_P,Female,0.00186
18,54,37,NS_P,Female,0.00209
18,55,38,NS_P,Female,0.00232
18,56,39,NS_P,Female,0.00255
18,57,40,NS_P,Female,0.00277
18,58,41,NS_P,Female,0.00299
18,59,42,NS_P,Female,0.00322
18,60,43,NS_P,Female,0.00349
18,61,44,NS_P,Female,0.0038
18,62,45,NS_P,Female,0.00417
18,63,46,NS_P,Female,0.00458
18,64,47,NS_P,Female,0.00504
18,65,48,NS_P,Female,0.00554
18,66,49,NS_P,Female,0.00607
18,67,50,NS_P,Female,0.00665
18,68,51,NS_P,Female,0.00729
18,69,52,NS_P,Female,0.008
